iter	Passed	Remaining
622	2946	4148
623	2951	4143
624	2956	4139
625	2961	4134
626	2966	4129
627	2970	4124
628	2975	4120
629	2980	4115
630	2984	4110
631	2989	4105
632	2995	4102
633	2999	4097
634	3004	4092
635	3010	4089
636	3015	4084
637	3020	4080
638	3025	4076
639	3030	4072
640	3035	4068
641	3041	4064
642	3045	4059
643	3051	4055
644	3055	4050
645	3061	4047
646	3065	4042
647	3071	4037
648	3075	4033
649	3080	4028
650	3085	4023
651	3093	4022
652	3098	4018
653	3102	4013
654	3108	4010
655	3114	4006
656	3119	4003
657	3123	3997
658	3128	3992
659	3132	3986
660	3141	3987
661	3146	3982
662	3150	3977
663	3155	3973
664	3160	3967
665	3163	3961
666	3168	3956
667	3173	3952
668	3178	3947
669	3182	3942
670	3189	3940
671	3194	3935
672	3198	3930
673	3204	3927
674	3209	3922
675	3214	3917
676	3219	3913
677	3223	3908
678	3228	3903
679	3233	3899
680	3238	3894
681	3242	3889
682	3246	3883
683	3253	3881
684	3258	3876
685	3262	3871
686	3268	3867
687	3274	3864
688	3278	3859
689	3284	3855
690	3289	3851
691	3294	3846
692	3300	3843
693	3304	3837
694	3309	3832
695	3313	3827
696	3318	3822
697	3323	3818
698	3327	3813
699	3334	3810
700	3339	3806
701	3345	3802
702	3350	3798
703	3355	3793
704	3361	3790
705	3367	3786
706	3371	3782
707	3377	3778
708	3382	3773
709	3387	3768
710	3392	3764
711	3397	3760
712	3401	3754
713	3406	3750
714	3411	3745
715	3416	3741
716	3421	3736
717	3426	3732
718	3431	3727
719	3436	3722
720	3443	3720
721	3447	3715
722	3453	3711
723	3458	3706
724	3463	3702
725	3468	3697
726	3474	3694
727	3479	3689
728	3483	3684
729	3488	3679
730	3493	3675
731	3497	3670
732	3502	3665
733	3507	3660
734	3512	3656
735	3517	3651
736	3524	3648
737	3529	3644
738	3534	3639
739	3539	3635
740	3544	3630
741	3549	3625
742	3554	3621
743	3559	3616
744	3563	3611
745	3570	3608
746	3575	3604
747	3580	3599
748	3586	3596
749	3591	3591
750	3596	3586
751	3601	3582
752	3605	3577
753	3610	3571
754	3615	3567
755	3620	3563
756	3625	3558
757	3629	3552
758	3635	3548
759	3639	3543
760	3644	3539
761	3650	3535
762	3655	3530
763	3659	3525
764	3665	3521
765	3670	3517
766	3676	3513
767	3682	3509
768	3686	3504
769	3691	3499
770	3696	3495
771	3701	3490
772	3705	3485
773	3710	3480
774	3716	3477
775	3721	3472
776	3726	3467
777	3732	3464
778	3738	3459
779	3745	3457
780	3750	3453
781	3755	3448
782	3761	3444
783	3766	3440
784	3772	3435
785	3777	3431
786	3782	3426
787	3787	3422
788	3792	3417
789	3798	3413
790	3803	3408
791	3810	3406
792	3815	3401
793	3819	3396
794	3825	3392
795	3830	3387
796	3835	3382
797	3840	3378
798	3845	3374
799	3850	3369
800	3856	3365
801	3861	3360
802	3867	3356
803	3872	3352
804	3877	3348
805	3883	3343
806	3888	3338
807	3892	3334
808	3897	3328
809	3902	3324
810	3907	3319
811	3912	3314
812	3917	3310
813	3924	3307
814	3927	3301
815	3932	3296
816	3936	3290
817	3940	3285
818	3944	3279
819	3948	3274
820	3955	3271
821	3960	3266
822	3964	3261
823	3969	3256
824	3974	3251
825	3979	3247
826	3984	3242
827	3988	3237
828	3993	3232
829	3998	3227
830	4004	3223
831	4009	3219
832	4013	3213
833	4018	3209
834	4022	3203
835	4026	3198
836	4030	3192
837	4035	3188
838	4040	3183
839	4045	3178
840	4051	3174
841	4057	3170
842	4061	3165
843	4066	3160
844	4070	3155
845	4076	3150
846	4081	3146
847	4086	3141
848	4090	3136
849	4095	3131
850	4100	3127
851	4105	3122
852	4109	3117
853	4115	3113
854	4119	3107
855	4124	3102
856	4129	3098
857	4133	3093
858	4138	3088
859	4143	3083
860	4149	3079
861	4154	3074
862	4158	3069
863	4164	3065
864	4169	3060
865	4174	3056
866	4179	3051
867	4183	3046
868	4188	3041
869	4194	3037
870	4199	3032
871	4204	3027
872	4208	3022
873	4214	3018
874	4219	3013
875	4224	3009
876	4229	3004
877	4234	2999
878	4238	2994
879	4244	2990
880	4250	2986
881	4254	2981
882	4260	2977
883	4265	2972
884	4269	2967
885	4275	2962
886	4281	2958
887	4285	2953
888	4290	2949
889	4295	2943
890	4299	2939
891	4304	2934
892	4310	2929
893	4315	2925
894	4320	2920
895	4325	2916
896	4330	2910
897	4334	2905
898	4340	2901
899	4345	2896
900	4350	2892
901	4357	2888
902	4361	2883
903	4366	2878
904	4371	2874
905	4378	2870
906	4382	2865
907	4389	2861
908	4394	2857
909	4398	2851
910	4404	2847
911	4408	2842
912	4414	2838
913	4419	2833
914	4424	2829
915	4429	2824
916	4434	2819
917	4438	2814
918	4444	2809
919	4449	2804
920	4454	2800
921	4459	2795
922	4463	2790
923	4469	2786
924	4473	2780
925	4478	2776
926	4483	2771
927	4489	2767
928	4493	2762
929	4501	2758
930	4505	2753
931	4510	2748
932	4515	2743
933	4519	2739
934	4524	2734
935	4530	2730
936	4536	2725
937	4541	2721
938	4549	2718
939	4554	2713
940	4559	2708
941	4565	2704
942	4570	2699
943	4576	2695
944	4582	2691
945	4588	2687
946	4596	2683
947	4601	2679
948	4606	2674
949	4612	2670
950	4617	2665
951	4622	2660
952	4628	2656
953	4634	2652
954	4639	2647
955	4645	2643
956	4650	2638
957	4656	2634
958	4662	2630
959	4667	2625
960	4672	2620
961	4678	2616
962	4684	2612
963	4690	2607
964	4695	2603
965	4702	2599
966	4709	2595
967	4714	2591
968	4720	2586
969	4726	2582
970	4732	2578
971	4736	2573
972	4742	2568
973	4746	2563
974	4751	2558
975	4756	2553
976	4761	2549
977	4766	2543
978	4771	2539
979	4776	2534
980	4781	2529
981	4786	2524
982	4791	2520
983	4796	2515
984	4800	2510
985	4805	2505
986	4810	2500
987	4816	2495
988	4822	2491
989	4827	2487
990	4831	2481
991	4838	2477
992	4843	2472
993	4847	2467
994	4851	2462
995	4855	2457
996	4859	2451
997	4864	2446
998	4870	2442
999	4874	2437
1000	4879	2432
1001	4886	2428
1002	4891	2423
1003	4896	2418
1004	4902	2414
1005	4906	2409
1006	4910	2404
1007	4916	2399
1008	4920	2394
1009	4924	2389
1010	4928	2383
1011	4934	2379
1012	4938	2374
1013	4943	2369
1014	4949	2364
1015	4953	2359
1016	4958	2354
1017	4963	2349
1018	4967	2344
1019	4972	2339
1020	4976	2334
1021	4983	2330
1022	4988	2325
1023	4992	2320
1024	4999	2316
1025	5005	2312
1026	5011	2308
1027	5016	2303
1028	5020	2298
1029	5024	2292
1030	5031	2288
1031	5036	2283
1032	5040	2278
1033	5046	2274
1034	5051	2269
1035	5056	2264
1036	5061	2259
1037	5067	2255
1038	5071	2250
1039	5077	2245
1040	5081	2240
1041	5086	2235
1042	5092	2231
1043	5099	2227
1044	5104	2222
1045	5110	2218
1046	5114	2212
1047	5118	2207
1048	5124	2203
1049	5128	2197
1050	5134	2193
1051	5139	2188
1052	5144	2183
1053	5148	2178
1054	5153	2173
1055	5158	2169
1056	5163	2163
1057	5167	2158
1058	5173	2154
1059	5177	2149
1060	5182	2144
1061	5188	2139
1062	5193	2135
1063	5197	2129
1064	5203	2125
1065	5207	2120
1066	5212	2115
1067	5217	2110
1068	5223	2105
1069	5228	2101
1070	5232	2095
1071	5237	2091
1072	5242	2086
1073	5246	2081
1074	5252	2076
1075	5256	2071
1076	5261	2066
1077	5267	2061
1078	5272	2057
1079	5277	2052
1080	5282	2047
1081	5287	2042
1082	5291	2037
1083	5295	2032
1084	5301	2027
1085	5307	2023
1086	5311	2018
1087	5318	2014
1088	5323	2009
1089	5328	2004
1090	5335	2000
1091	5340	1995
1092	5344	1990
1093	5349	1985
1094	5354	1980
1095	5359	1975
1096	5365	1971
1097	5369	1965
1098	5374	1961
1099	5380	1956
1100	5385	1951
1101	5389	1946
1102	5395	1942
1103	5400	1937
1104	5405	1932
1105	5409	1927
1106	5415	1922
1107	5420	1917
1108	5425	1912
1109	5431	1908
1110	5435	1903
1111	5442	1898
1112	5446	1893
1113	5451	1888
1114	5455	1883
1115	5461	1879
1116	5466	1874
1117	5470	1869
1118	5477	1864
1119	5482	1860
1120	5488	1855
1121	5493	1850
1122	5498	1845
1123	5502	1840
1124	5511	1837
1125	5519	1833
1126	5526	1829
1127	5531	1824
1128	5537	1819
1129	5542	1814
1130	5547	1810
1131	5552	1805
1132	5558	1800
1133	5562	1795
1134	5567	1790
1135	5572	1785
1136	5575	1780
1137	5579	1774
1138	5585	1770
1139	5589	1765
1140	5594	1760
1141	5599	1755
1142	5606	1751
1143	5611	1746
1144	5615	1741
1145	5620	1736
1146	5624	1731
1147	5629	1726
1148	5634	1721
1149	5638	1715
1150	5643	1711
1151	5647	1705
1152	5652	1701
1153	5656	1695
1154	5660	1690
1155	5664	1685
1156	5668	1680
1157	5672	1675
1158	5676	1670
1159	5681	1665
1160	5685	1660
1161	5690	1655
1162	5693	1649
1163	5699	1645
1164	5703	1640
1165	5707	1634
1166	5711	1629
1167	5715	1624
1168	5720	1619
1169	5724	1614
1170	5728	1609
1171	5734	1604
1172	5738	1599
1173	5741	1594
1174	5747	1589
1175	5751	1584
1176	5754	1579
1177	5759	1574
1178	5763	1569
1179	5767	1564
1180	5771	1558
1181	5775	1553
1182	5780	1549
1183	5784	1543
1184	5788	1538
1185	5792	1533
1186	5798	1529
1187	5802	1523
1188	5806	1518
1189	5810	1513
1190	5815	1508
1191	5819	1503
1192	5823	1498
1193	5827	1493
1194	5831	1488
1195	5835	1483
1196	5839	1478
1197	5844	1473
1198	5848	1468
1199	5852	1463
1200	5856	1457
1201	5860	1453
1202	5864	1447
1203	5869	1442
1204	5875	1438
1205	5879	1433
1206	5883	1428
1207	5887	1423
1208	5892	1418
1209	5896	1413
1210	5900	1408
1211	5904	1403
1212	5908	1398
1213	5912	1392
1214	5916	1387
1215	5920	1382
1216	5925	1377
1217	5930	1373
1218	5934	1367
1219	5939	1363
1220	5943	1357
1221	5946	1352
1222	5950	1347
1223	5954	1342
1224	5961	1338
1225	5965	1333
1226	5970	1328
1227	5974	1323
1228	5979	1318
1229	5982	1313
1230	5988	1308
1231	5992	1303
1232	5996	1298
1233	6000	1293
1234	6006	1288
1235	6010	1283
1236	6014	1278
1237	6018	1273
1238	6022	1268
1239	6028	1263
1240	6031	1258
1241	6037	1254
1242	6041	1249
1243	6045	1244
1244	6049	1239
1245	6054	1234
1246	6057	1229
1247	6061	1223
1248	6066	1219
1249	6070	1214
1250	6074	1209
1251	6078	1204
1252	6084	1199
1253	6088	1194
1254	6092	1189
1255	6096	1184
1256	6100	1179
1257	6105	1174
1258	6108	1169
1259	6112	1164
1260	6117	1159
1261	6122	1154
1262	6127	1149
1263	6132	1145
1264	6136	1139
1265	6141	1135
1266	6145	1130
1267	6149	1125
1268	6154	1120
1269	6157	1115
1270	6161	1110
1271	6166	1105
1272	6171	1100
1273	6175	1095
1274	6181	1090
1275	6185	1085
1276	6189	1080
1277	6193	1075
1278	6199	1071
1279	6202	1066
1280	6207	1061
1281	6211	1056
